Tên,"Giá khuyến mãi","Giá bán thường","Hình ảnh"
"Xe Điện Cân Bằng Homesheel X8 PLUS USA",,4090000,"https://homesheel.com.vn/wp-content/uploads/2018/06/x8_11.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/x8-xanh-ngan-ha.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/x8-tim-ngan-ha.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/homesheel-x8-plus-xanh-cam-lua.jpg, https://homesheel.com.vn/wp-content/uploads/2022/08/z4125482254286_c8399caf9668b665c6e96973c92c085f.jpg"
"Skateboard Homesheel A2",,3990000,https://homesheel.com.vn/wp-content/uploads/2018/06/A2.jpg
"Skateboard Homesheel A1",,3680000,https://homesheel.com.vn/wp-content/uploads/2018/06/a1.jpg
"Skateboard Homesheel A3",,6990000,https://homesheel.com.vn/wp-content/uploads/2018/06/A3.jpg
"Homesheel OFF ROAD",,7980000,https://homesheel.com.vn/wp-content/uploads/2018/06/8c01e15877f290acc9e3.jpg
"Homesheel MINI PRO",,8390000,"https://homesheel.com.vn/wp-content/uploads/2018/06/MINI-PRO-1.jpg, https://homesheel.com.vn/wp-content/uploads/2022/08/z4125482233938_3786efa1403d42f70673c8f9f483619c.jpg"
"Homesheel Ninebot USA",,8190000,"https://homesheel.com.vn/wp-content/uploads/2018/06/ninebote-new-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/ninebot-trang.jpg, https://homesheel.com.vn/wp-content/uploads/2022/08/z4125482238375_0a4f28ab4617a7195e7061a4bbd1a5e6.jpg"
"Homesheel K2",,13000000,https://homesheel.com.vn/wp-content/uploads/2018/06/k2.jpg
"Ván điện Skateboard Homesheel A4",,14490000,https://homesheel.com.vn/wp-content/uploads/2018/06/A4.jpg
"Pin xe điện cân bằng 36v, 4.4AH chính hãng HOMESHEEL",,,"https://homesheel.com.vn/wp-content/uploads/2018/06/c774f2954d3faa61f32e.jpg, https://homesheel.com.vn/wp-content/uploads/2022/04/Untitled-6.jpg, https://homesheel.com.vn/wp-content/uploads/2022/04/SUA-CHUA-PIN-XE-DAP-DIEN.jpg, https://homesheel.com.vn/wp-content/uploads/2022/04/MAY-HAN-PIN.jpg"
"Homesheel DRIFT D1",,4990000,"https://homesheel.com.vn/wp-content/uploads/2018/07/drift.jpg, https://homesheel.com.vn/wp-content/uploads/2018/07/drift-6-1.png, https://homesheel.com.vn/wp-content/uploads/2018/07/drift-5-1.png, https://homesheel.com.vn/wp-content/uploads/2018/07/drift-3-1.png, https://homesheel.com.vn/wp-content/uploads/2018/07/drift-2-2.png, https://homesheel.com.vn/wp-content/uploads/2018/07/drift-1-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/D1nu.jpg, https://homesheel.com.vn/wp-content/uploads/2021/06/D1.jpg"
"Xe Điện Scooter Homesheel X6",,8990000,"https://homesheel.com.vn/wp-content/uploads/2018/08/xe-scooter-dien-homesheel-x6.png, https://homesheel.com.vn/wp-content/uploads/2022/08/z4125482256519_34b371149b8d397eeff953bbda148f19.jpg"
"Gậy xe điện cân bằng homesheel G1",,199000,https://homesheel.com.vn/wp-content/uploads/2018/10/2db6566ff7c5109b49d4.jpg
"Chân chống xe điện ninebot",,129000,https://homesheel.com.vn/wp-content/uploads/2018/10/6bf35aa0fa0a1d54441b.jpg
"Homesheel Y3",,19500000,https://homesheel.com.vn/wp-content/uploads/2018/11/y3.jpg
"Homesheel HL1",,5990000,https://homesheel.com.vn/wp-content/uploads/2018/11/HL1-1.jpg
"Sạc xe điện cân bằng 36V-42V Homesheel USA",,380000,https://homesheel.com.vn/wp-content/uploads/2019/01/sac-xe-dien-can-bang-homesheel-42v.png
"Skateboard Homesheel H3",,12999000,https://homesheel.com.vn/wp-content/uploads/2019/07/h3.jpg
"Xe Điện Gấp Homesheel C1",,11490000,"https://homesheel.com.vn/wp-content/uploads/2019/03/c1.jpg, https://homesheel.com.vn/wp-content/uploads/2019/03/xe-điện-gấp-gọn-homesheel-C1-6.png, https://homesheel.com.vn/wp-content/uploads/2020/07/15beada92c16d1488807.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/z1964270637005_95767f986ca32e2fd6d7499d09a789dd.jpg"
"Homesheel X7",,8900000,"https://homesheel.com.vn/wp-content/uploads/2019/04/x7.jpg, https://homesheel.com.vn/wp-content/uploads/2019/04/58739979_2002029976772093_5207793402841661440_n.jpg"
"Skateboard Homesheel A5",,6990000,https://homesheel.com.vn/wp-content/uploads/2019/05/a5.jpg
"Xe Điện Gấp Homesheel A2 (USA)",12990000,14390000,"https://homesheel.com.vn/wp-content/uploads/2019/06/a2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/A2-BAC-3.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/A2-XAM.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/A2-BAC-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/A2-BAC2.jpg, https://homesheel.com.vn/wp-content/uploads/2021/09/THE_9555.jpg, https://homesheel.com.vn/wp-content/uploads/2019/06/z3176437173975_ca994cf06a649ebdbdc6fc1fafc4e934.jpg"
"Xe Điện Gấp Gọn Homesheel AONE X (USA)",,16490000,"https://homesheel.com.vn/wp-content/uploads/2019/07/3.jpg, https://homesheel.com.vn/wp-content/uploads/2019/07/3.jpg, https://homesheel.com.vn/wp-content/uploads/2019/07/2.jpg, https://homesheel.com.vn/wp-content/uploads/2019/07/He6a96aec90de4bdfbeb7aaf51a692297f.jpg, https://homesheel.com.vn/wp-content/uploads/2019/07/5.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/AoneX-12.5-3.jpg"
"Homesheel S6 PLUS usa ( 2 năm bảo hành)",,4090000,"https://homesheel.com.vn/wp-content/uploads/2019/07/S6.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/x6plus-xanh-cam-lua.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/homesheel-s6-plus-xanh-ngan-ha.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/s6-plus-phien-ban-rong-do_mau-pink.png"
"Xe điện gấp gọn độc nhất và thông minh Homesheel  T5_ 8AH",,11500000,"https://homesheel.com.vn/wp-content/uploads/2019/10/t5.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5ava2trang.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5avado.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t58.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t56sacpin.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t55thietke.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5yễn.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5thangdia.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5hiendaituonglai.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5den.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t59congnghemoi.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5-bao-hanh.jpg"
"Homesheel Drift D2",,4790000,https://homesheel.com.vn/wp-content/uploads/2019/11/Xe-dien-3-banh-the-thao-D2-7.jpg
"Xe Điện Scooter Homesheel FTN S1",,12490000,"https://homesheel.com.vn/wp-content/uploads/2020/02/Homesheel-S1-1.png, https://homesheel.com.vn/wp-content/uploads/2020/02/scooter-s12.jpg, https://homesheel.com.vn/wp-content/uploads/2020/02/scooter-s13.jpg, https://homesheel.com.vn/wp-content/uploads/2020/02/scooter-s1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/02/Homesheel-S1-1.png"
"XE ĐIỆN CÂN BẰNG ĐỊA HÌNH HOMESHEEL X60",,26990000,https://homesheel.com.vn/wp-content/uploads/2020/02/WeChat-Image_20200221125518.jpg
"Homesheel Airwheel R5",,13800000,"https://homesheel.com.vn/wp-content/uploads/2020/04/avata-homesheel-1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/04/DF4A6217897-scaled.jpg, https://homesheel.com.vn/wp-content/uploads/2020/04/DF4A6215-scaled.jpg"
"Xe Đạp Điện Thể Thao Homesheel T20( USA)",,27490000,"https://homesheel.com.vn/wp-content/uploads/2020/04/T20.jpg, https://homesheel.com.vn/wp-content/uploads/2020/04/THE_9309.jpg, https://homesheel.com.vn/wp-content/uploads/2020/04/THE_9324.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/pin-kha-nang-thao-roi.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/homesheel-t20-2.jpg, https://homesheel.com.vn/wp-content/uploads/2020/08/homesheel-t20-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/10/1-1.jpg, https://homesheel.com.vn/wp-content/uploads/2021/10/121527630_1286392075046408_4856926690426278516_o.jpg"
"Vali điện trẻ em Homesheel Airwheel SQ-3",,6250000,"https://homesheel.com.vn/wp-content/uploads/2020/04/kid.jpg, https://homesheel.com.vn/wp-content/uploads/2020/04/q.jpg, https://homesheel.com.vn/wp-content/uploads/2020/04/screenshot_1587461327.png, https://homesheel.com.vn/wp-content/uploads/2020/04/screenshot_1587461076.png, https://homesheel.com.vn/wp-content/uploads/2020/04/screenshot_1587461314.png, https://homesheel.com.vn/wp-content/uploads/2020/04/screenshot_1587461293.png"
"Xe điện gấp gọn độc nhất và thông minh Homesheel T5_ 12AH",,11990000,"https://homesheel.com.vn/wp-content/uploads/2019/10/t5.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5ava2trang.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5avado.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t58.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t56sacpin.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t55thietke.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5yễn.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5thangdia.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5hiendaituonglai.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5den.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t59congnghemoi.jpg, https://homesheel.com.vn/wp-content/uploads/2019/10/t5-bao-hanh.jpg"
"Xe đạp điện thể thao Homesheel R8",,17990000,"https://homesheel.com.vn/wp-content/uploads/2020/07/Homesheel-airwheel-R8-3.png, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-Triangle_electric_bike-l.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-function1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-design4.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-design3.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-design5.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-design8.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-design7.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-design2.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-function6.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel-r8-function3.jpg"
"Homesheel S8 USA (new)",,10800000,"https://homesheel.com.vn/wp-content/uploads/2019/07/S8.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_ligh.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_electric_walkcar.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_electric_app.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_design_2.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_control.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_electric_s8.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_doublewheel_s8.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/15.png, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_rain_ride.png, https://homesheel.com.vn/wp-content/uploads/2020/07/Untitled.png, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_rain_ride.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/airwheel_s8_light.png"
"Homesheel F1 GYROOR",,7490000,"https://homesheel.com.vn/wp-content/uploads/2020/07/2-4.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/2-4.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/1-5.jpg, https://homesheel.com.vn/wp-content/uploads/2021/05/xe-xam.png, https://homesheel.com.vn/wp-content/uploads/2021/05/xe-vang.png, https://homesheel.com.vn/wp-content/uploads/2021/05/xe-do.png"
"Xe điện cân bằng Homesheel G2 GYROOR",,6290000,"https://homesheel.com.vn/wp-content/uploads/2020/07/homesheel-G2-gyroor-avata.png, https://homesheel.com.vn/wp-content/uploads/2020/07/1-3.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/2-2.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/2_1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/3-3.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/3_1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/4-1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/4_1.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/5.jpg, https://homesheel.com.vn/wp-content/uploads/2020/07/5_1.jpg"
